Example_experiment_data
;TSE PhenoMaster V4.8.9 (2013-4929)
Box;Animal No.;Weight_g;Text1
1;1;350;HEALTHY
2;2;350;DISEASE
3;3;350;HEALTHY
4;4;350;DISEASE
5;5;350;HEALTHY
1;6;350;DISEASE
2;7;350;HEALTHY
3;8;350;DISEASE
4;9;350;HEALTHY
5;10;350;DISEASE

Date;Time;Animal No.;Box;XT+YT;XT;XY
;;;;[Cnts];[Cnts];[Cnts]
2024-07-22;06:00:00;1;1;0;250;716
2024-07-22;06:00:00;2;1;78;0;722
2024-07-22;06:00:00;3;2;98;243;673
2024-07-22;06:00:00;4;2;0;0;689
2024-07-22;06:00:00;5;3;67;0;703
2024-07-22;06:00:00;6;3;74;245;719
2024-07-22;06:00:00;7;4;88;244;720
2024-07-22;06:00:00;8;4;98;249;730
2024-07-22;06:00:00;9;5;81;0;664
2024-07-22;06:00:00;10;5;93;236;678
2024-07-22;06:01:00;1;1;63;0;685
2024-07-22;06:01:00;2;1;72;233;693
2024-07-22;06:01:00;3;2;0;252;689
2024-07-22;06:01:00;4;2;88;263;697
2024-07-22;06:01:00;5;3;76;247;694
2024-07-22;06:01:00;6;3;84;256;693
2024-07-22;06:01:00;7;4;0;281;682
2024-07-22;06:01:00;8;4;87;285;0
2024-07-22;06:01:00;9;5;65;232;691
2024-07-22;06:01:00;10;5;75;245;690
2024-07-22;06:02:00;1;1;76;257;716
2024-07-22;06:02:00;2;1;73;265;735
2024-07-22;06:02:00;3;2;61;0;686
2024-07-22;06:02:00;4;2;64;253;694
2024-07-22;06:02:00;5;3;58;251;698
2024-07-22;06:02:00;6;3;63;258;0
2024-07-22;06:02:00;7;4;80;234;693
2024-07-22;06:02:00;8;4;87;244;0
2024-07-22;06:02:00;9;5;51;0;687
2024-07-22;06:02:00;10;5;60;0;690
2024-07-22;06:03:00;1;1;0;253;691
2024-07-22;06:03:00;2;1;0;0;0
2024-07-22;06:03:00;3;2;0;216;0
2024-07-22;06:03:00;4;2;57;225;701
2024-07-22;06:03:00;5;3;57;243;692
2024-07-22;06:03:00;6;3;0;0;706
2024-07-22;06:03:00;7;4;54;213;704
2024-07-22;06:03:00;8;4;0;222;711
2024-07-22;06:03:00;9;5;69;249;706
2024-07-22;06:03:00;10;5;82;253;718
2024-07-22;06:04:00;1;1;75;246;698
2024-07-22;06:04:00;2;1;83;261;717
2024-07-22;06:04:00;3;2;62;0;699
2024-07-22;06:04:00;4;2;78;0;718
2024-07-22;06:04:00;5;3;68;229;723
2024-07-22;06:04:00;6;3;73;245;734
2024-07-22;06:04:00;7;4;77;225;678
2024-07-22;06:04:00;8;4;75;237;678
2024-07-22;06:04:00;9;5;0;252;0
2024-07-22;06:04:00;10;5;67;266;715
2024-07-22;06:05:00;1;1;57;240;711
2024-07-22;06:05:00;2;1;66;248;731
2024-07-22;06:05:00;3;2;62;241;719
2024-07-22;06:05:00;4;2;70;0;0
2024-07-22;06:05:00;5;3;0;0;673
2024-07-22;06:05:00;6;3;74;262;0
2024-07-22;06:05:00;7;4;44;247;686
2024-07-22;06:05:00;8;4;48;258;0
2024-07-22;06:05:00;9;5;68;258;697
2024-07-22;06:05:00;10;5;0;0;705
2024-07-22;06:06:00;1;1;83;248;0
2024-07-22;06:06:00;2;1;86;0;692
2024-07-22;06:06:00;3;2;34;0;698
2024-07-22;06:06:00;4;2;49;263;717
2024-07-22;06:06:00;5;3;65;242;714
2024-07-22;06:06:00;6;3;0;253;731
2024-07-22;06:06:00;7;4;73;0;724
2024-07-22;06:06:00;8;4;0;240;735
2024-07-22;06:06:00;9;5;56;256;690
2024-07-22;06:06:00;10;5;65;272;699
2024-07-22;06:07:00;1;1;49;235;0
2024-07-22;06:07:00;2;1;54;247;695
2024-07-22;06:07:00;3;2;0;247;707
2024-07-22;06:07:00;4;2;66;251;724
2024-07-22;06:07:00;5;3;46;0;685
2024-07-22;06:07:00;6;3;57;0;701
2024-07-22;06:07:00;7;4;61;250;703
2024-07-22;06:07:00;8;4;79;261;727
2024-07-22;06:07:00;9;5;0;253;0
2024-07-22;06:07:00;10;5;84;0;698
2024-07-22;06:08:00;1;1;0;243;688
2024-07-22;06:08:00;2;1;69;254;0
2024-07-22;06:08:00;3;2;0;0;0
2024-07-22;06:08:00;4;2;83;255;706
2024-07-22;06:08:00;5;3;81;250;701
2024-07-22;06:08:00;6;3;95;0;0
2024-07-22;06:08:00;7;4;84;250;688
2024-07-22;06:08:00;8;4;88;0;698
2024-07-22;06:08:00;9;5;84;238;0
2024-07-22;06:08:00;10;5;95;246;0
2024-07-22;06:09:00;1;1;0;245;727
2024-07-22;06:09:00;2;1;70;257;743
2024-07-22;06:09:00;3;2;80;231;693
2024-07-22;06:09:00;4;2;0;241;708
2024-07-22;06:09:00;5;3;86;232;691
2024-07-22;06:09:00;6;3;91;242;697
2024-07-22;06:09:00;7;4;0;237;698
2024-07-22;06:09:00;8;4;0;248;725
2024-07-22;06:09:00;9;5;55;235;685
2024-07-22;06:09:00;10;5;64;0;708
2024-07-22;06:10:00;1;1;0;242;689
2024-07-22;06:10:00;2;1;76;0;706
2024-07-22;06:10:00;3;2;46;0;695
2024-07-22;06:10:00;4;2;47;250;0
2024-07-22;06:10:00;5;3;76;238;0
2024-07-22;06:10:00;6;3;0;251;0
2024-07-22;06:10:00;7;4;82;0;0
2024-07-22;06:10:00;8;4;0;257;717
2024-07-22;06:10:00;9;5;60;250;687
2024-07-22;06:10:00;10;5;68;0;700
2024-07-22;06:11:00;1;1;62;242;711
2024-07-22;06:11:00;2;1;0;0;727
2024-07-22;06:11:00;3;2;76;267;696
2024-07-22;06:11:00;4;2;89;271;709
2024-07-22;06:11:00;5;3;0;232;734
2024-07-22;06:11:00;6;3;59;245;744
2024-07-22;06:11:00;7;4;66;257;696
2024-07-22;06:11:00;8;4;75;270;698
2024-07-22;06:11:00;9;5;67;257;709
2024-07-22;06:11:00;10;5;76;267;0
2024-07-22;06:12:00;1;1;0;244;713
2024-07-22;06:12:00;2;1;86;251;726
2024-07-22;06:12:00;3;2;81;244;703
2024-07-22;06:12:00;4;2;0;252;713
2024-07-22;06:12:00;5;3;77;247;698
2024-07-22;06:12:00;6;3;84;258;707
2024-07-22;06:12:00;7;4;82;238;0
2024-07-22;06:12:00;8;4;0;248;0
2024-07-22;06:12:00;9;5;0;258;683
